,Store Number,City,2015 Sales,2015 Sales_mean,County_Number,Price_per_Liter_mean,Zip_Code,2015_Volume_Sold_(Liters),2015_Volume_Sold_(Liters)_mean,2015_Margin_mean,2015_Sales_Q1,2016_Sales_Q1
833,4684,INDIANOLA,538.6,7.48055555556,6525.65,90.6340277778,91,14.7414087302,30.23,50125,1610.36,978.96
834,4685,Dubuque,362.1,6.58363636364,7208.47,131.063090909,31,24.4386320346,43.7050909091,52001,2363.21,924.95
835,4686,CLINTON,426.59,2.92184931507,5965.93,40.8625342466,23,21.4725088947,13.6380136986,52732,1445.13,301.8
836,4687,CEDAR RAPIDS,323.2,7.34545454545,3914.09,88.9565909091,57,15.1904761905,29.8372727273,52402,861.91,1932.32
837,4689,FORT MADISON,75.0,9.375,1027.86,128.4825,56,15.0442857143,42.84,52627,156.12,1348.8
838,4690,BALDWIN,186.85,9.3425,2205.09,110.2545,49,17.2312380952,37.2375,52207,447.96,188.16
839,4692,KEOKUK,100.5,9.13636363636,1888.8,171.709090909,56,18.9631168831,57.72,52632,506.64,193.26
840,4694,DAVENPORT,556.1,5.561,10152.72,101.5272,82,21.072852381,33.8806,52806,1874.76,3574.26
841,4695,ALTOONA,252.75,10.11,3279.84,131.1936,77,13.8127238095,43.8048,50009,737.28,1546.68
842,4696,WEST DES MOINES,257.72,3.34701298701,4028.8,52.3220779221,77,18.9000610456,17.4546753247,50266,757.97,1343.24
843,4697,IOWA CITY,1503.23,9.88967105263,31897.6,209.852631579,52,21.502153245,69.975,52240,10308.35,1008.24
844,4698,FAIRFIELD,275.0,8.08823529412,4107.6,120.811764706,51,17.9798179272,40.3020588235,52556,1375.98,1310.58
845,4699,BETTENDORF,202.5,8.80434782609,3626.13,157.657826087,82,18.971552795,52.5717391304,52722,988.86,930.84
846,4700,ALLISON,377.45,6.50775862069,3876.43,66.835,12,14.692955665,22.3277586207,50602,581.83,605.16
847,4701,BOONE,240.75,16.05,2714.28,180.952,8,13.6566349206,60.644,50036,198.18,909.78
848,4702,FORT DODGE,406.5,14.5178571429,5826.5,208.089285714,94,18.9217687075,69.7114285714,50501,1365.6,638.91
849,4704,COUNCIL BLUFFS,484.92,7.576875,5433.81,84.90328125,78,15.9638002232,28.33203125,51501,1020.34,1172.4
850,4705,CORALVILLE,438.0,11.5263157895,6500.52,171.066315789,52,17.197443609,57.1247368421,52241,1476.48,822.6
851,4706,CLINTON,75.0,9.375,998.94,124.8675,23,13.3971428571,41.64,52732,242.52,1397.7
852,4707,CLINTON,73.5,12.25,1373.46,228.91,23,18.3476190476,76.33,52732,537.24,806.28
853,4708,GLENWOOD,1150.5,11.2794117647,12480.48,122.357647059,65,11.6292623716,41.0094117647,51534,3242.34,309.48
854,4709,AMES,368.25,9.44230769231,5532.84,141.867692308,85,16.5708424908,47.3061538462,50010,1079.16,1664.7
855,4710,DUBUQUE,225.5,6.63235294118,3425.14,100.739411765,31,17.1107563025,33.68,52002,1373.92,865.14
856,4711,DUBUQUE,178.5,9.39473684211,3243.48,170.709473684,31,18.5611027569,56.9273684211,52002,909.24,2032.52
857,4712,DUBUQUE,254.75,6.36875,3482.92,87.073,31,17.0655714286,29.0825,52001,828.95,1838.68
858,4713,CORALVILLE,337.5,9.375,4753.62,132.045,52,15.2018518519,44.2658333333,52241,1140.04,732.66
859,4714,INDIANOLA,117.0,11.7,1370.16,137.016,91,12.8883809524,45.792,50125,223.2,1112.94
860,4715,WEST DES MOINES,376.5,10.4583333333,5369.4,149.15,77,15.6850793651,49.8166666667,50265,1305.54,918.84
861,4717,BETTENDORF,139.33,6.05782608696,1862.3,80.9695652174,82,16.3003029312,27.1573913043,52722,284.01,2425.14
